status,longitude,latitude,house_type,beds,baths,full_baths,price_reduced,new_construction,foreclosure,plans,new_listing,is_coming_soon,is_contingent,is_pending,price_reduced_amount,days_since_last_sold,days_since_list_date,last_sold_prices,list_prices
0,-121.927384,37.785784,townhomes,4,3,2,1,0,0,0,1,0,0,0,21112,1352,0,910000,1228888
0,-121.938731,37.772606,single_family,4,4,3,1,0,0,0,1,0,0,1,151000,7215,0,1225000,2799000
0,-121.894041,37.75145,single_family,4,3,2,1,0,0,0,1,0,0,0,50000,15,0,1725000,1745000
0,-121.922882,37.784556,single_family,5,3,3,0,0,0,0,1,0,0,0,,36,0,2475000,2428000
0,-121.916418,37.760553,condos,3,3,2,0,0,0,0,1,0,0,0,,29,0,955000,988000
0,-121.900785,37.749849,single_family,3,3,2,1,0,0,0,1,0,0,0,31000,125,0,1717500,1499000
0,-121.95346,37.785251,townhomes,3,3,2,0,0,0,0,1,0,0,0,,35,0,889500,899000
0,-121.920799,37.774648,single_family,4,3,3,1,0,0,0,1,0,0,0,60000,16,0,1396000,1448888
0,-121.95552,37.771949,single_family,4,3,3,1,0,0,0,1,0,0,0,145000,6,0,1907500,1950000
0,-121.935782,37.754446,single_family,4,3,2,0,0,0,0,1,0,0,0,,41,0,2250000,2098000
0,-121.908004,37.76701,townhomes,3,3,3,0,0,0,0,1,0,0,0,,36,0,1050000,1085000
0,-121.922135,37.768598,single_family,5,4,4,0,0,0,0,1,0,0,0,,41,0,2150000,2089000
0,-121.915564,37.760261,single_family,4,4,3,0,0,0,0,1,0,0,0,,19,0,1430000,1499000
0,-121.93429,37.780496,single_family,5,5,4,1,0,0,0,1,0,0,0,160000,21,0,3325000,3369000
0,-121.906917,37.766948,townhomes,3,3,2,0,0,0,0,1,0,0,0,,49,0,950000,950000
0,-121.925521,37.785565,townhomes,3,3,2,1,0,0,0,1,0,0,0,100000,1255,0,731000,1249000
0,-121.907498,37.765545,townhomes,3,3,3,0,0,0,0,1,0,0,1,,6517,0,571500,1095880
0,-121.931449,37.749863,single_family,5,3,3,0,0,0,0,1,0,0,0,,28,0,2260000,2200000
0,-121.898078,37.762329,single_family,6,4,4,1,0,0,0,1,0,0,0,152100,28,0,2450000,2547000
0,-121.943507,37.771132,single_family,4,3,2,0,0,0,0,1,0,0,0,,40,0,1641000,1680000
0,-121.890576,37.760213,single_family,5,4,4,0,0,0,0,1,0,0,0,,30,0,2260000,2399000
0,-121.94134,37.764995,townhomes,3,3,3,0,0,0,0,1,0,0,0,,9,0,1600000,1649000
0,-121.95745,37.78322,single_family,4,3,3,0,0,0,0,1,0,0,0,,30,0,1945000,1998000
0,-121.954117,37.770066,single_family,4,3,2,0,0,0,0,1,0,0,0,,61,0,1898000,1998000
0,-121.912334,37.776594,single_family,5,4,3,0,0,0,0,1,0,0,0,,16,0,2720000,2999000
0,-121.951818,37.779605,condos,2,2,2,0,0,0,0,1,0,0,0,,61,0,925000,925000
0,-121.955929,37.771696,single_family,4,3,2,1,0,0,0,1,0,0,0,100000,10428,0,360000,1825000
0,-121.898766,37.767487,single_family,5,5,5,1,0,0,0,1,0,0,0,61000,20,0,2450000,2499000
0,-121.957382,37.772309,single_family,4,3,2,0,0,0,0,1,0,0,0,,28,0,1888700,1900000
0,-121.897539,37.753562,single_family,4,4,3,1,0,0,0,1,0,0,0,91000,4088,0,720000,2089000
0,-121.939857,37.78529,single_family,4,3,3,1,0,0,0,1,0,0,0,100000,29,0,1850000,1889900
0,-121.948369,37.776302,condos,1,1,1,0,0,0,0,1,0,0,0,,26,0,515000,529000
0,-121.884563,37.758321,single_family,5,5,4,0,0,0,0,1,0,0,0,,55,0,2585000,2488000
0,-121.949263,37.774374,condos,1,1,1,0,0,0,0,1,0,0,0,,58,0,518000,510000
0,-121.895827,37.76489,single_family,5,3,3,0,0,0,0,1,0,0,0,,43,0,1975000,2199000
0,-121.901074,37.749397,single_family,3,3,2,1,0,0,0,1,0,0,0,100000,26,0,1376000,1390000
0,-121.897979,37.750788,condos,3,3,2,0,0,0,0,1,0,0,0,,41,0,1070000,1150000
0,-121.948623,37.784246,condos,3,2,2,1,0,0,0,1,0,0,0,51000,43,0,1179000,1198000
0,-121.911427,37.774475,single_family,4,4,3,1,0,0,0,1,0,0,0,200000,30,0,2000000,2099000
0,-121.951993,37.769975,single_family,3,2,2,0,0,0,0,1,0,0,0,,50,0,1860000,1850000
0,-121.891351,37.754667,single_family,5,3,3,0,0,0,0,1,0,0,0,,27,0,2250000,2299000
0,-121.94285,37.783543,townhomes,3,3,2,1,0,0,0,1,0,0,0,152000,38,0,1190000,1198000
0,-121.897441,37.750144,townhomes,4,3,3,1,0,0,0,1,0,0,0,50000,58,0,1300000,1348000
0,-121.93987,37.761989,single_family,4,3,2,0,0,0,0,1,0,0,0,,72,0,2000000,1995000
0,-121.888095,37.763593,single_family,4,3,3,1,0,0,0,1,0,0,0,89000,50,0,1800000,1899000
0,-121.891424,37.763698,single_family,4,3,2,1,0,0,0,1,0,0,0,50000,58,0,1800000,1838000
0,-121.911529,37.731176,single_family,5,3,3,1,0,0,0,1,0,0,0,100000,36,0,1480000,1599000
0,-121.941803,37.760482,single_family,4,3,3,0,0,0,0,1,0,0,0,,63,0,1988000,1998000
0,-121.93243,37.775559,single_family,4,3,2,1,0,0,0,1,0,0,0,60000,16,0,1928000,2039000
0,-121.943329,37.761379,condos,2,2,2,0,0,0,0,1,0,0,0,,58,0,815000,788000
0,-121.898381,37.750484,condos,3,3,2,1,0,0,0,1,0,0,0,35000,51,0,1100000,1145000
0,-121.916512,37.735912,single_family,4,2,2,0,0,0,0,1,0,0,0,,54,0,1500000,1550000
0,-121.953663,37.774805,single_family,5,3,3,0,0,0,0,1,0,0,0,,70,0,1749000,1799000
0,-121.94247,37.76083,condos,2,2,2,0,0,0,0,1,0,0,0,,57,0,740000,759900
0,-121.898617,37.750344,townhomes,3,3,2,0,0,0,0,1,0,0,0,,69,0,1100011,1069000
0,-121.897837,37.749781,townhomes,3,3,2,0,0,0,0,1,0,0,0,,64,0,1150000,1180000
0,-121.898985,37.749533,townhomes,3,3,2,0,0,0,0,1,0,0,0,,54,0,1150000,1200000
0,-121.906185,37.774697,single_family,3,2,2,0,0,0,0,1,0,0,0,,245,0,1750000,1680000
